,Rain,Temp,NR,VPD,PET,Sap velocity (cm/h),Sap velocity_LR (cm/h),Sap velocity_o (cm/h),Total SF (cm3/h),Total SF_LR (cm3/h),Total SF_o (cm3/h),S1,S2,S3,S_avg
2021-06-07 00:30:00,0.0,6.661,0.2,0.6564256868620162,0.041935994535405,1.846767856782292,1.2768171055535917,1.3910258202929267,112.4967533126909,77.77792884004008,84.73500769594798,0.209,0.0907579643335062,0.0910682422281549,0.13027540218722036
2021-06-07 01:00:00,0.0,6.661,0.2,0.687659673395406,0.0439307331924365,2.0093363773236774,1.4394320122848754,1.5536284766828692,122.39969302684541,87.68369419128965,94.64002681175556,0.209,0.0907579643335062,0.0910682422281549,0.13027540218722036
2021-06-07 01:30:00,0.0,6.458,0.2,0.6989558821821515,0.0447165467024381,2.150588192898584,1.58071558405379,1.6949031169034885,131.00411539284138,96.29005100113591,103.2458395520364,0.209,0.0907579643335062,0.0910682422281549,0.13027540218722036
2021-06-07 02:00:00,0.0,6.281,0.2,0.6838444474665152,0.0283304889673753,1.6624019091011604,1.0923858153134225,1.2066109746317288,101.26601282770001,66.5432079815995,73.50128856695439,0.21,0.0916809522352242,0.091428807882194,0.13103658670580606
2021-06-07 02:30:00,0.0,5.898,0.2,0.6800040737661357,0.0282586341357354,1.3932742420136313,0.8231384712366667,0.9373925022485079,84.87197138779916,50.14187636026909,57.101715678738906,0.21,0.0916809522352242,0.091428807882194,0.13103658670580606
2021-06-07 03:00:00,0.0,5.745,0.2,0.6838444474665152,0.0439698016713712,1.2679133169308534,0.697711961144577,0.8119814117242294,77.2355502684389,42.501460098483925,49.462238707352306,0.21,0.0916809522352242,0.091428807882194,0.13103658670580606
2021-06-07 03:30:00,0.0,5.77,0.2,0.687659673395406,0.044207332195861,1.5592899451065845,0.9892314055976461,1.1034669441987948,94.98489788708389,60.259507439436575,67.21822028380399,0.21,0.0916809522352242,0.091428807882194,0.13103658670580606
2021-06-07 04:00:00,0.0,5.872,0.2,0.7026719313455045,0.0548599383932304,1.6829651178036247,1.112956982579559,1.2271801734109253,102.51863058808765,67.7963105417257,74.7542712157507,0.21,0.0916809522352242,0.091428807882194,0.13103658670580606
2021-06-07 04:30:00,0.0,5.924,0.2,0.710030836737289,0.0455959793408815,1.7445371587100642,1.1745518468880816,1.2887693452082276,106.26932111011095,71.54839136227757,78.50600527424035,0.21,0.0916809522352242,0.091428807882194,0.13103658670580606
2021-06-07 05:00:00,0.0,5.949,0.2,0.7244597394142771,0.0565329501132695,2.0901645018375343,1.5202792814028168,1.6344704400188588,127.32337715464142,92.6085445218626,99.56455393806591,0.211,0.0926039401369421,0.091789373536233,0.1317977712243917
